subject,response,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
study2_533,"{""Q0"":""I felt good after completing the task because it sort of reminded me of the good qualities I possess. I hardly take  out time to appreciate myself and my qualities but while I was taking part in the studies I had time to do so, smiling sometimes and also laughing when I came across words like \""fool\"", \""idiot\"" and some others because I thought for a moment that who would label his or herself a fool. In conclusion, the task was good, the instructions were very clear and easy to understand. Thanks for having me.""}",,,,,,
study2_532,"{""Q0"":""It was interesting to see how I felt about each word describing me. ""}",,,,,,
study2_531,"{""Q0"":""n/a""}",,,,,,
study2_530,"{""Q0"":""I thought that this was a very thought-provoking task as a whole. It got me really thinking about exactly how I view myself, although that viewpoint is ever changing.""}",,,,,,
study2_529,"{""Q0"":""""}",,,,,,
study2_528,"{""Q0"":""I chose the word that felt most natural and accurate to me in each pair, and overall the task was clear and straightforward, though adding shorter breaks might make it more comfortable.\n""}",,,,,,
study2_527,"{""Q0"":""N/A""}",,,,,,
study2_526,"{""Q0"":""Overall, I found the task clear and manageable, though it did require sustained attention.""}",,,,,,
study2_525,"{""Q0"":""Being my true and authentic self. Making sure I answer and share my mental health in this study.""}",,,,,,
study2_524,"{""Q0"":""i quickly enter the words i could remember using y and n. After finishing the experiment, I felt satisfied. overall the task is engaging""}",,,,,,
study2_523,"{""Q0"":""I based my answers over something that happened in my life 3 years ago which has made me feel bad about myself ever since. No other strategy, just read through and choose the one that described best.""}",,,,,,
study2_522,"{""Q0"":""""}",,,,,,
study2_521,"{""Q0"":""I just thought of the words and quickly clicked on what described me.  On some I accidentally clicked the wrong one.""}",,,,,,
study2_520,"{""Q0"":""""}",,,,,,
study2_519,"{""Q0"":""I was so much focused throughout the study.""}",,,,,,
study2_518,"{""Q0"":""I chose extremes for some words because I really feel they were a complete miss or a complete fit for who I am. I think if everyone tells you that you are smart, and if you have known that your whole life, it would be silly to put a 98 down when it is a 100. I went with my gut feel on many words, and for words that have changed for me recently, I went on what I feel I am now, as opposed to what I may have been the prior year and before.""}",,,,,,
study2_517,"{""Q0"":""The questions were straightforward and clear. Although I have a positive attitude toward myself, I'm still a worrier and that's something I need to work on.""}",,,,,,
study2_516,"{""Q0"":""No more improvement""}",,,,,,
study2_515,"{""Q0"":""the choice between the two words was hard with the 8 seconds, I think I missed one because I couldn't decide in time. I wish it didn't have a timer because it's so anxiety inducing just the timer itself, and the more you tell yourself to calm down and think clearly, the more you kind of can't and panic more instead.""}",,,,,,
study2_514,"{""Q0"":""i think the researcher should show try and use the words in a sentence. Overall i enjoyed this task.""}",,,,,,
study2_513,"{""Q0"":""""}",,,,,,
study2_512,"{""Q0"":""I just took the tasks and i was as honest as possible""}",,,,,,
study2_511,"{""Q0"":""I thought it was a good task, especially at the moment in my life and what i'm currently going through.""}",,,,,,
study2_510,"{""Q0"":""No strategy was used.""}",,,,,,
study2_509,"{""Q0"":""I think I thought 8 seconds was shorter that it actually is when choosing between 2 words""}",,,,,,
study2_508,"{""Q0"":""Just not feeling great about myself lately. Going through a terrible breakup.""}",,,,,,
study2_507,"{""Q0"":""I didn't use any specific strategies when doing the task, just tried to be as honest as possible with myself. I appreciate the opportunity to learn more about my feelings and express them in a way.""}",,,,,,
study2_506,"{""Q0"":""I was able to put in maximum attention in the task and understanding instruction, which helped and contributed to better performance.""}",,,,,,
study2_505,"{""Q0"":""I think the task was eye opening for me and I had to think, at times, ab out my answers. it was especially true deciding between 2 words.""}",,,,,,
study2_504,"{""Q0"":""I just did my best to answer everything honestly.""}",,,,,,
study2_503,"{""Q0"":""I paid close attention to all the words displayed""}",,,,,,
study2_502,"{""Q0"":""very interesting study ""}",,,,,,
study2_501,"{""Q0"":""I don't know how i feel""}",,,,,,
study2_500,"{""Q0"":""When words such as \""repulsive\"" \""slob\"" or \""gross\"" came up, I thought that was sad, because when people are depressed, they might think that way about themselves. I don't think about myself in that way, but it's really sad that some people do.""}",,,,,,
study2_499,"{""Q0"":""I basically followed the provided instructions. I did not use specific strategies as per say.""}",,,,,,
study2_498,"{""Q0"":""I selected most of words according to my behaviour. The study was very engaging and interesting.""}",,,,,,
study2_497,"{""Q0"":""I didnt have any""}",,,,,,
study2_496,"{""Q0"":""not thinking twice""}",,,,,,
study2_495,"{""Q0"":""I prefer to concentrate fully on this task, I kept my eyes, mind and on the questions.  ""}",,,,,,
study2_494,"{""Q0"":""a couple times I didn't answer in the required time because I was thinking through my response. very engaging study. thank you and good luck in all your endeavors! ""}",,,,,,
study2_493,"{""Q0"":""I thought about my personality and how well those words lined up with me""}",,,,,,
study2_492,"{""Q0"":""When I was clicking the slider, I would have liked to be able to hit enter instead of having to click the continue button. Otherwise, working quickly was more of a mouse target task than simply answering the questions.""}",,,,,,
study2_491,"{""Q0"":""I was self refelctive of my current self and imagined how closed friends would rate me based on the words .""}",,,,,,
study2_490,"{""Q0"":""I tried to think of how people would describe me. I felt somewhat accomplished after completing it, but also worried I did it incorrectly. ""}",,,,,,
study2_489,"{""Q0"":""I answered the questions and associated words with how I typically act given past experiences. I'm a person of duality and context though and some words were hard to give a definite answer of how I actually am vs how I feel, though I did give my best effort to answer the questions. For example the question of \""do I think I'm selfish\"" was hard to answer. I'm a very wanting person, I want everything that I can get. Even though I feel that way though, I rarely act on it no matter how much it leaves me wanting and empty. Some people may call that being selfless, as I'm foregoing the want and instead allowing others to have, but my guilt tells me even feeling that way is selfish in itself even though no wrong action has been committed. It was a reflective exercise if nothing else, had fun though.""}",,,,,,
study2_488,"{""Q0"":""I feel that this was very interesting. It felt a bit long but not boring.""}",,,,,,
study2_487,"{""Q0"":""I just simply paused at each word and thought about it for a second. I definitely feel a little down now because of the words I saw and reminding myself that some of them apply to me negatively. The study was interesting and engaging overall, thank you!""}",,,,,,
study2_486,"{""Q0"":""The only real thoughts I had when doing this was that I noticed just how contradictory I am with myself. For instance, I feel greedy AND charitable. I feel attractive AND ugly. I don't think I've ever realized just how much of a contradiction I am. ""}",,,,,,
study2_485,"{""Q0"":""I just followed the instructions and did the best I could""}",,,,,,
study2_484,"{""Q0"":""everyone is made up of good and bad thngs.so i used that strategy""}",,,,,,
study2_483,"{""Q0"":""I tried to be honest and use the full scale, thinking carefully about each word. It made me reflect on my traits, and sometimes it was tricky to pick middle values. It might help to give examples for the scale points to make ratings clearer. Overall, it was interesting.""}",,,,,,
study2_482,"{""Q0"":""I just tried to be honest with myself and thoughtful of the answers that I picked. At the end of the experiment, I realized how low of a self esteem I really have. I can't really think of ways to improve the experiment, it is pretty simple and straightforward. ""}",,,,,,
study2_481,"{""Q0"":""I tried to select the best options with what I was presented, nothing too special. I tried to be as honest as possible. If you are going for more detailed responses you could add a slider to each word from 0 to 100. So you can see exactly which word fits best. I appreciate your research. Thank you.""}",,,,,,
study2_480,"{""Q0"":""I wished the scales would have had numbers visible as I moved the scale.""}",,,,,,
study2_479,"{""Q0"":""I thought about what I feel at the moment, and how Ive been feeling lately when I was selecting the words. ""}",,,,,,
study2_478,"{""Q0"":""I challenged myself to take myself seriously and not answer based on who I WANT to be, but based on who I am now. I found that I need to work on my confidence first, and many things I rated myself low on will soon rise as well. Phenomenal study!""}",,,,,,
study2_477,"{""Q0"":""I tried to go with my gut when making the decisions. It would've been nice if I were given a 2 minute break at one or more points during the study because it was quite long.""}",,,,,,
study2_476,"{""Q0"":""I don't think I employed any unique strategies. I just tried to answer the questions as accurately as I could.""}",,,,,,
study2_475,"{""Q0"":""I didn't employ any particular strategies. I feel kinda down now afterwards. No other comments.""}",,,,,,
study2_474,"{""Q0"":""progress bar""}",,,,,,
study2_473,"{""Q0"":""I feel drained, but I often feel drained. I can't remember the beginning of the experiement, but I do a lot of studies.""}",,,,,,
study2_472,"{""Q0"":""I did not use any one particular strategy. I just answered truthfully and wholeheartedly. ""}",,,,,,
study2_471,"{""Q0"":""I tried to be honest about how I viewed myself and afterwards I felt a bit mentally exhausted.""}",,,,,,
study2_470,"{""Q0"":""I read carefully and looked for patterns, felt satisfied though mentally taxed, and think a time estimate would help.""}",,,,,,
study2_469,"{""Q0"":""I don't have any strategy besides comparing the words to myself. I feel tired after completing the experiment due to a lot of repeatation""}",,,,,,
study2_468,"{""Q0"":""I didn't really use any strategies for the experiment. The task made me feel sad because it made me think about my negative traits, which I normally try not to focus on. But it was an engaging task overall!""}",,,,,,
study2_467,"{""Q0"":""I just picked what best described me, no real strategy to it. My feelings I think my picks mostly show I value my mind, and It's what I rate highly. A progress bar would be nice. ""}",,,,,,
study2_466,"{""Q0"":""Throughout the various tasks, I employed several strategies to ensure accuracy and engagement. For the memory and comprehension tasks, I focused on active reading, trying to identify and retain key facts, names, and numbers. My goal was to synthesize the information presented in the articles and scenarios as quickly as possible. ""}",,,,,,
study2_465,"{""Q0"":""i just went with how i really feel about myself and chose the first that came to mind. it makes me think more about how i view myself after being done with the task. ""}",,,,,,
study2_464,"{""Q0"":""It was a wake up call to how depression affects me""}",,,,,,
study2_463,"{""Q0"":""i followed the rules""}",,,,,,
study2_462,"{""Q0"":""I feel useless every day I am terminal and have a few months left.  I just picked the words closest to what I feel.  ""}",,,,,,
study2_461,"{""Q0"":""""}",,,,,,
study2_460,"{""Q0"":""I was honest with myself and how I view myself throughout the experiment. I enjoyed this experiment very much!""}",,,,,,
study2_459,"{""Q0"":""I went with the words that I felt described me the most or ones that I feel like I related to the most. After completing the experiment, I began to think about some of the worries weighing on my mind and what I can do to mentally not worry so much and not think so hard about little things. Overall, it was a good survey that helped me think about how I can harmonize my thoughts and worries so that they don't overwhelm me in my daily life. ""}",,,,,,
study2_458,"{""Q0"":""""}",,,,,,
study2_457,"{""Q0"":""I did not use any strategies""}",,,,,,
study2_456,"{""Q0"":""great study""}",,,,,,
study2_455,"{""Q0"":""All good""}",,,,,,
study2_454,"{""Q0"":""I didn't have any specific strategies I used, I just tried to be reflective and honest while maintaining a decently quick response time. I feel slight relief at completing the experiment and I hope I am invited to the second part in the future.""}",,,,,,
study2_453,"{""Q0"":""I just tried to answer as honestly as possible, even when I was presented with conflicting choices that I didnt agree with like Liar or Scoundrel etc. I just tried to pick the one that actually fit me better. ""}",,,,,,
study2_452,"{""Q0"":""This was a longer survey and I'm glad it's almost done. I did enjoy thinking a little deeper about myself and some of the descriptors.""}",,,,,,
study2_451,"{""Q0"":""My strategy was to give 100% focus and provide the most accurate and honest answers I could. After completing the experiment I'm happy that I accomplished that and happy to know myself a little better than I did before the experiment. Thank you for letting me participate. ""}",,,,,,
study2_450,"{""Q0"":""I carefully thought about how those qualities apply to me and I felt really good after completing the task.""}",,,,,,
study2_449,"{""Q0"":""I just chose what came to mind first for me. ""}",,,,,,
study2_448,"{""Q0"":""I was divided with a lot of the terms because there is context with nearly all my answers. I understand that my selections were meant to be based on how I perceive myself, but my perception changes based on certain situations. I am capable and successful in certain aspects in my life, but maybe not in terms of career and financial success. I am Asian-American, and most people of my generation and younger suffer from severe generational trauma from our parents and our culture. Our perception of ourselves gets warped because of this trauma, and we are unable to evaluate ourselves objectively. We often view ourselves and our accomplishments in the lens of our parents and our culture. It's something that follows most of us our entire lives no matter our age and status in society.""}",,,,,,
study2_447,"{""Q0"":""i feel enlightened and inspired after this survey and also learned some new words""}",,,,,,
study2_446,"{""Q0"":""""}",,,,,,
study2_445,"{""Q0"":""I tried to recognize the feeling I hold about myself. Both the negative and positive. I tried to see those as descriptive of my thoughts about myself, not prescriptive of my character and who I am. I am trying to be more merciful towards who I am. Recognizing flaws, and accepting them, but knowing thats not all of me either.""}",,,,,,
study2_444,"{""Q0"":""I wished there were numbers on the sliders. Other than that it was interesting coming across certain words as they made me think of myself in different ways""}",,,,,,
study2_443,"{""Q0"":""Complete honesty, usually responding with my first thought/reaction""}",,,,,,
study2_442,"{""Q0"":""The task was good, although some choices were difficult to make. I tried to go with my first gut feeling when picking words but sometimes during the timed ones I found myself rethinking the choice. ""}",,,,,,
study2_441,"{""Q0"":""i try to think good things and make the right things""}",,,,,,
study2_440,"{""Q0"":""I dind't realize how low esteeme I have until I did this.""}",,,,,,
study2_439,"{""Q0"":""I did not employ any special strategies; I simply answered honestly. I don't have any strong feelings, and I don't need the researchers to know anything further at this time. ""}",,,,,,
study2_438,"{""Q0"":""i start reading every question to think about it""}",,,,,,
study2_437,"{""Q0"":""I followed the instructions carefully""}",,,,,,
study2_436,"{""Q0"":""i choose my answers base on my current situation""}",,,,,,
study2_435,"{""Q0"":""I feel that the words involved were too negative.""}",,,,,,
study2_434,"{""Q0"":""I stayed true to myself when completing the task.""}",,,,,,
study2_433,"{""Q0"":""I just really thought about the words, and meanings""}",,,,,,
study2_432,"{""Q0"":""So, when I had to do the task where I had to see which words best described me, I was thinking, mostly, about how I see myself. But then for some of the more negative words, I was thinking about how I could be perceived by other people. ""}",,,,,,
study2_431,"{""Q0"":""I feel worse about myself after completing this survey. It just gave me some time to reflect about myself and I didn't like what I saw.""}",,,,,,
study2_430,"{""Q0"":""I didn't really have any strategy other than being honest with who I feel I am. ""}",,,,,,
study2_429,"{""Q0"":""During the experiment, I tried to stay focused and read each question carefully to provide accurate answers. Sometimes, the questions felt repetitive, which made it a bit challenging to stay fully engaged. Overall, I felt neutral to positive after completing the task. It might help if the instructions included some examples to clarify how to respond, and maybe adding more variety could keep participants more engaged.""}",,,,,,
study2_428,"{""Q0"":""That was alot, esp if someone had ADD.  I'd be curious to see what kind of profile my answers led to, if that was something being put together.""}",,,,,,
study2_427,"{""Q0"":""I think the experiment is great as is. I am feeling happy and not bored at all after doing the tasks.""}",,,,,,
study2_426,"{""Q0"":""I tried to read quickly and answer the questions to the best of my ability""}",,,,,,
study2_425,"{""Q0"":""No strategies, I just completed the study as directed.""}",,,,,,
study2_424,"{""Q0"":""I concentrated solely on myself and thought about my mental state.""}",,,,,,
study2_423,"{""Q0"":""The only strategy I really used was determining how much I felt that way about myself. In regards to the ones where there were two options I wouldn't agree with I went with the least offensive answer to me about my own beliefs of myself.""}",,,,,,
study2_422,"{""Q0"":""I feel sad, seeing those words made me feel bad about myself.""}",,,,,,
study2_421,"{""Q0"":""I took a few breaks between tasks on my phone. And sometimes for the slider parts I double checked the definition of a word.""}",,,,,,
study2_420,"{""Q0"":""I didn't really have a strategy, I just picked which of the options was most like me overall and used the slider to pick the appropriate overall amount it describes, not necessarily taking into account how I feel in this current moment. I feel anxious after completing this experiment.""}",,,,,,
study2_419,"{""Q0"":""The task was very interactive, and I thank you for the opportunity! I think it's a great task. Don't need to improve on much. I feel fine after completing it. I didn't really do any strategies. ""}",,,,,,
study2_418,"{""Q0"":""I really enjoyed this experiment and I liked how interactive it was.  It made it enjoyable to be able to compare and choose between two things by pressing different keys.""}",,,,,,
study2_417,"{""Q0"":""I hadn't evaluated myself this way before, thinking about specific descriptors. I realize I do think I have good traits, I can be competent, and I am happy with my life, I feel badly about myself and certain outcomes in my life. It was interesting. ""}",,,,,,
study2_416,"{""Q0"":""Make it just a bit shorter and not so repetitive""}",,,,,,
study2_415,"{""Q0"":""none""}",,,,,,
study2_414,"{""Q0"":""I felt in touch with all the things that rang true about me. It made me realise how sad I really am with life and how I wish things were better.""}",,,,,,
study2_413,"{""Q0"":""I picked the words with instincts and not thinking too much about it.""}",,,,,,
study2_412,"{""Q0"":""I just tried to ask myself if I viewed myself a certain way or another, if one description matched me better that the other. I found this to be an enjoyable and self reflective survey to take. ""}",,,,,,
study2_411,"{""Q0"":""""}",,,,,,
study2_410,"{""Q0"":""""}",,,,,,
study2_409,"{""Q0"":""I didn't really use any strategies - just answered the questions presented to me as accurately as I could. As I've now completed the experiment, I'm contemplating some thoughts and worries that answering the questions has resurfaced in my head. I think the study was straightforward, without any issues and can't think of anything that would need to be changed about it. Possibly clarify that a break is acceptable between tasks so if someone needs to step away for a minute. That could help some participants.""}",,,,,,
study2_408,"{""Q0"":""I tried to answer based on my gut instinct and not dwell too long on each question. I felt very satisfied upon my completion of each section. Study was enjoyable, but it was a bit repetitive, more breaks throughout would've been nice.""}",,,,,,
study2_407,"{""Q0"":""It was an interesting experiment. I didn't employ any type of strategy. ""}",,,,,,
study2_406,"{""Q0"":""I just did what the instructions told me to do. I have no feelings about it.""}",,,,,,
study2_405,"{""Q0"":""I'm not sure about employing any strategies, I just simply answered the questions. However, after completing the experiment, it gave me great pause to want to re-evaluate my life, and it sort of opened my eyes to how I honestly feel about myself, and what I need to do to help improve my life, and my overall outlook on it, and the world around me. I really appreciate studies like this, and am always grateful to participate. I think if you had to improve this task, to make the replies more clickable, and or easier to click on. Thank you for allowing my participation. Have a blessed one all. :) ""}",,,,,,
study2_404,"{""Q0"":""This task caused a lot of self-reflection in me. Thank you for allowing me to participate. It was an enjoyable task and went by faster than I thought. Really liked the format you chose jumping from one task to another. The only part I may change is that part of the test when we were asked if we had seen a word before maybe form the question to read more like \""Please, answer whether you have seen the following words in the context of this test before\"" just to make it more explicit of what you are wanting people to remember, as that is how I understood the question but was a little confused till I saw that most of the words were words I encountered during previous sections of the test. Thank you so much for allowing me to participate. Everything else, like I said, was perfect and you did a great job at making the test not tiresome despite it being an engaging 1 hour tast.""}",,,,,,
study2_403,"{""Q0"":""I feel confused following the experiment. I have a headache, possibly from the words flashing on the screen and I feel a little depressed now.""}",,,,,,
study2_402,"{""Q0"":""Whereever the slider was naturally place kind of got in my head sometimes, like why is it placed there? But other than that nothing comes to mind,""}",,,,,,
study2_401,"{""Q0"":""I went with how I see myself in that moment when deciding on descriptions""}",,,,,,
study2_400,"{""Q0"":""I just tried to be honest with how I feel about each word describing me even if it meant something bad. Nothing else to add, thank you and have a great day.""}",,,,,,
study2_399,"{""Q0"":""I was focused - it was interesting experiment! thank you""}",,,,,,
study2_398,"{""Q0"":""I practiced little to no deliberate strategies and instead sought to be honest.""}",,,,,,
study2_397,"{""Q0"":""I think some of the choices were tough, such as picking between the least bad of the two, but I managed to pick the most accurate ones, I believe. It was an overall engaging experience. I do feel a little tense after it, I think, but that's okay and it was worth it because it made me self-reflect on some of my qualities. Thank you for the experiment. ""}",,,,,,
study2_396,"{""Q0"":""I noticed that the slider was in different spots for the words. I don't think I employed any specific strategy. ""}",,,,,,
study2_395,"{""Q0"":""I didnt employ any strategies i just answered honestly. I feel kind of sad and lonely after doing this experiment. It made me think about how i am and i did not like it much. I cant think of anything that would make this experiment better. I just want to say thank you for the opportunity for me to be a part of your research.""}",,,,,,
study2_394,"{""Q0"":""This was an interesting study, and I enjoyed it a lot. Thank you!""}",,,,,,
study2_393,"{""Q0"":""The only strategy I used was being honest, so thank you for letting me participate in this research. Have a great day.""}",,,,,,
study2_392,"{""Q0"":""Thank you for the study and I would think about which means more or less depending on the two words and go with the strongest one. It made me think of things I shouldn't be worried about but them put them out of my head to focus on the different tasks. ""}",,,,,,
study2_391,"{""Q0"":""Some of the words were brash. It was hard not to rate at 0 at times. I did not employ any strategies that I could think of. I really tried to think of how I am overall as a person, as chose the ratings as best as I could.""}",,,,,,
study2_390,"{""Q0"":""There was so strategy. I just rated based on what i felt was more core to my personality""}",,,,,,
study2_389,"{""Q0"":""I just chose what I felt described me better at the moment I saw the words. After completing the experiment, I noticed that I feel more self-conscious.""}",,,,,,
study2_388,"{""Q0"":""good experiment and study. thanks. all was good.""}",,,,,,
study2_387,"{""Q0"":""I feel a little down after this experiment just because it really did make me put my feelings into perspective. Overall a beautiful study though!""}",,,,,,
study2_386,"{""Q0"":""I just went on how I was feeling now and for most of my life""}",,,,,,
study2_385,"{""Q0"":""No strategies. Just gave honest responses. I feel the same. ""}",,,,,,
study2_384,"{""Q0"":""I didn't employ any strategies. I simply answered honestly.  Thank you for the survey! Have a wonderful day!""}",,,,,,
study2_383,"{""Q0"":""In the \""words you have seen before\"" section, if it specifies words seen in the survey, I missed it. In any case, I started without realizing it meant words seen in the study, and I was not considering that at first.""}",,,,,,
study2_382,"{""Q0"":""""}",,,,,,
study2_381,"{""Q0"":""I just tried to focus on what was in front of me. Now that it's done I want to take a nap.""}",,,,,,
study2_380,"{""Q0"":""it was great""}",,,,,,
