subject,response
study2_592,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":2,""Q4"":1,""Q5"":0,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":0,""Q16"":1,""Q17"":2,""Q18"":1,""Q19"":2,""Q20"":1,""Q21"":2,""Q22"":1}"
study2_591,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":0,""Q9"":1,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":0,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":1,""Q19"":0,""Q20"":0,""Q21"":0,""Q22"":0}"
study2_590,"{""Q0"":2,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":2,""Q5"":3,""Q6"":3,""Q7"":2,""Q8"":2,""Q9"":3,""Q10"":3,""Q11"":0,""Q12"":0,""Q13"":3,""Q14"":2,""Q15"":3,""Q16"":3,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":1,""Q21"":2,""Q22"":1}"
study2_589,"{""Q0"":0,""Q1"":2,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":2,""Q21"":3,""Q22"":0}"
study2_588,"{""Q0"":2,""Q1"":3,""Q2"":2,""Q3"":2,""Q4"":1,""Q5"":2,""Q6"":2,""Q7"":2,""Q8"":3,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":1,""Q15"":2,""Q16"":3,""Q17"":2,""Q18"":2,""Q19"":3,""Q20"":2,""Q21"":2,""Q22"":2}"
study2_587,"{""Q0"":0,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":0,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":0,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":0,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":2,""Q22"":0}"
study2_586,"{""Q0"":3,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":3,""Q5"":2,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":3,""Q14"":2,""Q15"":3,""Q16"":2,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":2,""Q22"":2}"
study2_585,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":2,""Q4"":3,""Q5"":3,""Q6"":1,""Q7"":1,""Q8"":0,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":3,""Q13"":1,""Q14"":1,""Q15"":2,""Q16"":0,""Q17"":2,""Q18"":1,""Q19"":0,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_584,"{""Q0"":3,""Q1"":1,""Q2"":3,""Q3"":1,""Q4"":2,""Q5"":1,""Q6"":3,""Q7"":1,""Q8"":2,""Q9"":3,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":2,""Q15"":2,""Q16"":3,""Q17"":2,""Q18"":1,""Q19"":2,""Q20"":3,""Q21"":2,""Q22"":1}"
study2_583,"{""Q0"":3,""Q1"":2,""Q2"":2,""Q3"":1,""Q4"":3,""Q5"":3,""Q6"":2,""Q7"":2,""Q8"":3,""Q9"":3,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":2,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":2,""Q19"":3,""Q20"":2,""Q21"":3,""Q22"":2}"
study2_582,"{""Q0"":1,""Q1"":3,""Q2"":2,""Q3"":1,""Q4"":1,""Q5"":0,""Q6"":1,""Q7"":1,""Q8"":2,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":2,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":0,""Q21"":1,""Q22"":1}"
study2_581,"{""Q0"":3,""Q1"":3,""Q2"":2,""Q3"":2,""Q4"":3,""Q5"":2,""Q6"":"""",""Q7"":2,""Q8"":2,""Q9"":3,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":3,""Q15"":2,""Q16"":3,""Q17"":2,""Q18"":3,""Q19"":3,""Q20"":3,""Q21"":3,""Q22"":2}"
study2_580,"{""Q0"":1,""Q1"":3,""Q2"":1,""Q3"":2,""Q4"":0,""Q5"":2,""Q6"":3,""Q7"":0,""Q8"":3,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":"""",""Q15"":0,""Q16"":3,""Q17"":1,""Q18"":1,""Q19"":2,""Q20"":3,""Q21"":2,""Q22"":1}"
study2_579,"{""Q0"":2,""Q1"":3,""Q2"":1,""Q3"":3,""Q4"":3,""Q5"":2,""Q6"":3,""Q7"":3,""Q8"":3,""Q9"":2,""Q10"":3,""Q11"":0,""Q12"":1,""Q13"":3,""Q14"":2,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":2,""Q19"":2,""Q20"":3,""Q21"":2,""Q22"":3}"
study2_578,"{""Q0"":2,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":3,""Q6"":2,""Q7"":1,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":"""",""Q15"":2,""Q16"":1,""Q17"":2,""Q18"":2,""Q19"":2,""Q20"":2,""Q21"":2,""Q22"":1}"
study2_577,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":0,""Q17"":1,""Q18"":0,""Q19"":1,""Q20"":1,""Q21"":2,""Q22"":0}"
study2_576,"{""Q0"":2,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":3,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":0,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":2,""Q15"":2,""Q16"":2,""Q17"":3,""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":3,""Q22"":1}"
study2_575,"{""Q0"":1,""Q1"":1,""Q2"":2,""Q3"":"""",""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":1,""Q15"":2,""Q16"":1,""Q17"":2,""Q18"":1,""Q19"":2,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_574,"{""Q0"":1,""Q1"":3,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":2,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":3,""Q15"":2,""Q16"":1,""Q17"":1,""Q18"":3,""Q19"":2,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_573,"{""Q0"":0,""Q1"":0,""Q2"":1,""Q3"":1,""Q4"":0,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":0,""Q16"":0,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":0,""Q22"":1}"
study2_572,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":0,""Q4"":1,""Q5"":0,""Q6"":1,""Q7"":0,""Q8"":0,""Q9"":1,""Q10"":0,""Q11"":0,""Q12"":1,""Q13"":0,""Q14"":1,""Q15"":0,""Q16"":0,""Q17"":1,""Q18"":1,""Q19"":0,""Q20"":0,""Q21"":1,""Q22"":0}"
study2_571,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":0,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":0,""Q11"":1,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":0,""Q18"":1,""Q19"":0,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_570,"{""Q0"":1,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":2,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":2,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":2,""Q19"":1,""Q20"":0,""Q21"":1,""Q22"":1}"
study2_569,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_568,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_567,"{""Q0"":3,""Q1"":3,""Q2"":3,""Q3"":3,""Q4"":3,""Q5"":3,""Q6"":3,""Q7"":3,""Q8"":3,""Q9"":3,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":3,""Q14"":3,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":3,""Q20"":3,""Q21"":1,""Q22"":3}"
study2_566,"{""Q0"":2,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":1,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":1,""Q15"":1,""Q16"":2,""Q17"":2,""Q18"":1,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":2}"
study2_565,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":1,""Q4"":0,""Q5"":0,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":2,""Q13"":0,""Q14"":1,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":1,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":1}"
study2_564,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":0,""Q4"":0,""Q5"":0,""Q6"":1,""Q7"":0,""Q8"":0,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":1,""Q18"":1,""Q19"":"""",""Q20"":1,""Q21"":1,""Q22"":0}"
study2_563,"{""Q0"":2,""Q1"":0,""Q2"":3,""Q3"":0,""Q4"":2,""Q5"":1,""Q6"":3,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":1,""Q15"":3,""Q16"":0,""Q17"":0,""Q18"":2,""Q19"":1,""Q20"":3,""Q21"":0,""Q22"":2}"
study2_562,"{""Q0"":0,""Q1"":1,""Q2"":0,""Q3"":0,""Q4"":1,""Q5"":0,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":0,""Q16"":1,""Q17"":0,""Q18"":0,""Q19"":0,""Q20"":1,""Q21"":1,""Q22"":0}"
study2_561,"{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":1,""Q10"":3,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":2,""Q17"":2,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":3,""Q22"":2}"
study2_560,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":2,""Q4"":0,""Q5"":1,""Q6"":0,""Q7"":1,""Q8"":0,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":0,""Q15"":1,""Q16"":0,""Q17"":2,""Q18"":1,""Q19"":0,""Q20"":1,""Q21"":0,""Q22"":0}"
study2_559,"{""Q0"":0,""Q1"":0,""Q2"":"""",""Q3"":1,""Q4"":0,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":0,""Q19"":0,""Q20"":1,""Q21"":0,""Q22"":1}"
study2_558,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":2,""Q22"":1}"
study2_557,"{""Q0"":1,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":2,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":1,""Q20"":2,""Q21"":2,""Q22"":1}"
study2_556,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":0,""Q19"":0,""Q20"":0,""Q21"":0,""Q22"":0}"
study2_555,"{""Q0"":0,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":"""",""Q11"":0,""Q12"":1,""Q13"":"""",""Q14"":1,""Q15"":2,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":2}"
study2_554,"{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":2,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":1,""Q15"":1,""Q16"":2,""Q17"":"""",""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":3,""Q22"":1}"
study2_553,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":2,""Q13"":"""",""Q14"":1,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":2}"
study2_552,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":1,""Q15"":2,""Q16"":2,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_551,"{""Q0"":1,""Q1"":2,""Q2"":3,""Q3"":2,""Q4"":0,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":3,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":0,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":3,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_550,"{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":0,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":2,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":0,""Q16"":0,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":2,""Q21"":2,""Q22"":1}"
study2_549,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":2,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":2,""Q11"":1,""Q12"":2,""Q13"":1,""Q14"":2,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":"""",""Q20"":1,""Q21"":1,""Q22"":1}"
study2_548,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":2,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":2,""Q15"":0,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":2,""Q20"":0,""Q21"":1,""Q22"":1}"
study2_547,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":1,""Q19"":0,""Q20"":1,""Q21"":1,""Q22"":0}"
study2_546,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":1,""Q4"":0,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":"""",""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_545,"{""Q0"":2,""Q1"":3,""Q2"":2,""Q3"":2,""Q4"":3,""Q5"":2,""Q6"":3,""Q7"":2,""Q8"":3,""Q9"":3,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":3,""Q14"":2,""Q15"":2,""Q16"":2,""Q17"":3,""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":3,""Q22"":2}"
study2_544,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":0,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":2,""Q15"":"""",""Q16"":2,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":0,""Q21"":1,""Q22"":1}"
study2_543,"{""Q0"":2,""Q1"":1,""Q2"":2,""Q3"":2,""Q4"":3,""Q5"":2,""Q6"":2,""Q7"":3,""Q8"":2,""Q9"":3,""Q10"":2,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":2,""Q15"":2,""Q16"":3,""Q17"":2,""Q18"":2,""Q19"":3,""Q20"":2,""Q21"":2,""Q22"":3}"
study2_542,"{""Q0"":0,""Q1"":1,""Q2"":1,""Q3"":0,""Q4"":1,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":2,""Q22"":1}"
study2_541,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":0,""Q6"":2,""Q7"":0,""Q8"":0,""Q9"":1,""Q10"":0,""Q11"":0,""Q12"":3,""Q13"":0,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":0,""Q19"":0,""Q20"":3,""Q21"":1,""Q22"":0}"
study2_540,"{""Q0"":1,""Q1"":0,""Q2"":2,""Q3"":0,""Q4"":0,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":1,""Q19"":0,""Q20"":0,""Q21"":1,""Q22"":0}"
study2_539,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":0,""Q6"":0,""Q7"":1,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":0,""Q15"":1,""Q16"":1,""Q17"":0,""Q18"":1,""Q19"":0,""Q20"":0,""Q21"":0,""Q22"":0}"
study2_538,"{""Q0"":2,""Q1"":2,""Q2"":3,""Q3"":3,""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":3,""Q9"":2,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":2,""Q15"":1,""Q16"":3,""Q17"":1,""Q18"":2,""Q19"":3,""Q20"":2,""Q21"":3,""Q22"":2}"
study2_537,"{""Q0"":1,""Q1"":2,""Q2"":2,""Q3"":1,""Q4"":3,""Q5"":1,""Q6"":3,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":3,""Q11"":0,""Q12"":3,""Q13"":2,""Q14"":2,""Q15"":2,""Q16"":3,""Q17"":3,""Q18"":2,""Q19"":3,""Q20"":2,""Q21"":3,""Q22"":2}"
study2_536,"{""Q0"":3,""Q1"":3,""Q2"":2,""Q3"":2,""Q4"":3,""Q5"":1,""Q6"":1,""Q7"":2,""Q8"":1,""Q9"":0,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":0,""Q14"":2,""Q15"":3,""Q16"":1,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":1,""Q21"":2,""Q22"":1}"
study2_535,"{""Q0"":1,""Q1"":1,""Q2"":0,""Q3"":2,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":1,""Q15"":0,""Q16"":1,""Q17"":3,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":0}"
study2_534,"{""Q0"":3,""Q1"":3,""Q2"":2,""Q3"":3,""Q4"":2,""Q5"":0,""Q6"":3,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":1,""Q15"":3,""Q16"":3,""Q17"":2,""Q18"":1,""Q19"":2,""Q20"":1,""Q21"":1,""Q22"":3}"
study2_533,"{""Q0"":0,""Q1"":1,""Q2"":1,""Q3"":0,""Q4"":1,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":1,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":1,""Q19"":0,""Q20"":0,""Q21"":0,""Q22"":0}"
study2_532,"{""Q0"":3,""Q1"":1,""Q2"":3,""Q3"":3,""Q4"":3,""Q5"":3,""Q6"":3,""Q7"":3,""Q8"":3,""Q9"":"""",""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":3,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":3,""Q20"":3,""Q21"":3,""Q22"":3}"
study2_531,"{""Q0"":1,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":2,""Q5"":2,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":2,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":3,""Q19"":3,""Q20"":2,""Q21"":1,""Q22"":0}"
