Unnamed: 0.1,Unnamed: 0,X,participant_id,response,resp,resp2,resp3,num_pos,num_neg,total_recall,prop_pos,prop_neg,neg_mem_bias,group
10,11,11,587175727fbbcd0001397959,"Scoundrel
Loser
Hypocrite
Excellent
Stressed
Garbage
Untrustworthy
Uninvited
Pleased
Honest
Smart
Sophisticated
Graceful
Disgraced","Scoundrel, Loser, Hypocrite, Excellent, Stressed, Garbage, Untrustworthy, Uninvited, Pleased, Honest, Smart, Sophisticated, Graceful, Disgraced",Scoundrel  Loser  Hypocrite  Excellent  Stressed  Garbage  Untrustworthy  Uninvited  Pleased  Honest  Smart  Sophisticated  Graceful  Disgraced,scoundrel  loser  hypocrite  excellent  stressed  garbage  untrustworthy  uninvited  pleased  honest  smart  sophisticated  graceful  disgraced,5,2,7,0.714285714285714,0.285714285714286,-0.428571428571429,HC
11,12,12,58a43e029a17120001d910d5,"uninvited, wise, gross, appealing, comfortable, capable, overwhelmed, stressed, peaceful, excited, delighted, dull, unlucky, seeker, companion, romantic","uninvited, wise, gross, appealing, comfortable, capable, overwhelmed, stressed, peaceful, excited, delighted, dull, unlucky, seeker, companion, romantic",uninvited  wise  gross  appealing  comfortable  capable  overwhelmed  stressed  peaceful  excited  delighted  dull  unlucky  seeker  companion  romantic,uninvited  wise  gross  appealing  comfortable  capable  overwhelmed  stressed  peaceful  excited  delighted  dull  unlucky  seeker  companion  romantic,3,1,4,0.75,0.25,-0.5,HC
12,13,13,58b5e6a0211f4500013aa42a,garbage envious valued happy sad esteemed,garbage envious valued happy sad esteemed,garbage envious valued happy sad esteemed,garbage envious valued happy sad esteemed,2,1,3,0.666666666666667,0.333333333333333,-0.333333333333333,HC
13,14,14,5a1b51e59b760100013a85d3,disgusting lovable garbage esteemed peaceful unlucky happy achiever enjoyable scoundrel accomplished ,disgusting lovable garbage esteemed peaceful unlucky happy achiever enjoyable scoundrel accomplished ,disgusting lovable garbage esteemed peaceful unlucky happy achiever enjoyable scoundrel accomplished ,disgusting lovable garbage esteemed peaceful unlucky happy achiever enjoyable scoundrel accomplished ,3,1,4,0.75,0.25,-0.5,HC
14,15,15,5a381de00006450001bf2691,"esteemed
romantic
wise
fruitful
pitiful
unwanted
uninvited
seeker
gross
garbage
dreadful
intelligent
lovable
tolerant


","esteemed, romantic, wise, fruitful, pitiful, unwanted, uninvited, seeker, gross, garbage, dreadful, intelligent, lovable, tolerant, , , ",esteemed  romantic  wise  fruitful  pitiful  unwanted  uninvited  seeker  gross  garbage  dreadful  intelligent  lovable  tolerant      ,esteemed  romantic  wise  fruitful  pitiful  unwanted  uninvited  seeker  gross  garbage  dreadful  intelligent  lovable  tolerant      ,3,1,4,0.75,0.25,-0.5,HC
15,16,16,5a7920bb5292b8000122899e,"scoundrel, romantic, gross anxious, disaster, incompetent, parasite, embarrassment, humors,  disappointment, hypocrite","scoundrel, romantic, gross anxious, disaster, incompetent, parasite, embarrassment, humors,  disappointment, hypocrite",scoundrel  romantic  gross anxious  disaster  incompetent  parasite  embarrassment  humors   disappointment  hypocrite,scoundrel  romantic  gross anxious  disaster  incompetent  parasite  embarrassment  humors   disappointment  hypocrite,0,3,3,0.0,1.0,1.0,Depressed
16,17,17,5a98b9554eecca0001dd722f,"esteemed, disaster, appealing, hypocrite, honest, unwelcome, happy, excited, overwhelmed, stressed, friendly, peaceful, energetic, ","esteemed, disaster, appealing, hypocrite, honest, unwelcome, happy, excited, overwhelmed, stressed, friendly, peaceful, energetic, ",esteemed  disaster  appealing  hypocrite  honest  unwelcome  happy  excited  overwhelmed  stressed  friendly  peaceful  energetic  ,esteemed  disaster  appealing  hypocrite  honest  unwelcome  happy  excited  overwhelmed  stressed  friendly  peaceful  energetic  ,4,1,5,0.8,0.2,-0.6,HC
17,18,18,5ad89653dec7670001289a41,"scoundrel
proficient
slob
insecure
confident
mess
excellent
academic
learner
seeker
","scoundrel, proficient, slob, insecure, confident, mess, excellent, academic, learner, seeker, ",scoundrel  proficient  slob  insecure  confident  mess  excellent  academic  learner  seeker  ,scoundrel  proficient  slob  insecure  confident  mess  excellent  academic  learner  seeker  ,3,3,6,0.5,0.5,0.0,HC
18,19,19,5af1c437bfb51a000181d170,"comfortable, anxious, seeker, gross, disgusting, scoundrel","comfortable, anxious, seeker, gross, disgusting, scoundrel",comfortable  anxious  seeker  gross  disgusting  scoundrel,comfortable  anxious  seeker  gross  disgusting  scoundrel,0,2,2,0.0,1.0,1.0,HC
19,20,20,5b0481d17ac6e4000107e12a,"Unlovable, excitable, confident, happy, lively, anxious ","Unlovable, excitable, confident, happy, lively, anxious ",Unlovable  excitable  confident  happy  lively  anxious ,unlovable  excitable  confident  happy  lively  anxious ,1,1,2,0.5,0.5,0.0,Depressed
20,21,22,5bc0ac845a09ea00012e2d30,"overwhelmed, unlucky, tolerant, lazy, messy, garbage, stressed, liar","overwhelmed, unlucky, tolerant, lazy, messy, garbage, stressed, liar",overwhelmed  unlucky  tolerant  lazy  messy  garbage  stressed  liar,overwhelmed  unlucky  tolerant  lazy  messy  garbage  stressed  liar,1,1,2,0.5,0.5,0.0,Depressed
21,22,23,5bc893a51388c20001920fba,"talented, gross, fun, enjoyable, unwilling, uninvited, degenerate, strong, delightful, pitiful, heartbroken, wanted, failure, sad, scornful, ","talented, gross, fun, enjoyable, unwilling, uninvited, degenerate, strong, delightful, pitiful, heartbroken, wanted, failure, sad, scornful, ",talented  gross  fun  enjoyable  unwilling  uninvited  degenerate  strong  delightful  pitiful  heartbroken  wanted  failure  sad  scornful  ,talented  gross  fun  enjoyable  unwilling  uninvited  degenerate  strong  delightful  pitiful  heartbroken  wanted  failure  sad  scornful  ,1,3,4,0.25,0.75,0.5,Depressed
22,23,24,5bfff7c02213be0001c2c7cf,"scoundrel, sophisticated, uninviting, stressed, overwhelmed","scoundrel, sophisticated, uninviting, stressed, overwhelmed",scoundrel  sophisticated  uninviting  stressed  overwhelmed,scoundrel  sophisticated  uninviting  stressed  overwhelmed,1,0,1,1.0,0.0,-1.0,Depressed
23,24,25,5c2e693a86a578000141ca47,"Enjoyable, pitiful, scoundrel, uninvited, esteemed, learner, romantic, regretful, comfortable, lovable, disaster, gross, neglectful, happy, blissful","Enjoyable, pitiful, scoundrel, uninvited, esteemed, learner, romantic, regretful, comfortable, lovable, disaster, gross, neglectful, happy, blissful",Enjoyable  pitiful  scoundrel  uninvited  esteemed  learner  romantic  regretful  comfortable  lovable  disaster  gross  neglectful  happy  blissful,enjoyable  pitiful  scoundrel  uninvited  esteemed  learner  romantic  regretful  comfortable  lovable  disaster  gross  neglectful  happy  blissful,4,1,5,0.8,0.2,-0.6,HC
24,25,26,5c57d3d354f9d30001dbc19b,"disaster uninvited graceful unlucky liar seeker
disgraced esteemed ","disaster uninvited graceful unlucky liar seeker, disgraced esteemed ",disaster uninvited graceful unlucky liar seeker  disgraced esteemed ,disaster uninvited graceful unlucky liar seeker  disgraced esteemed ,1,1,2,0.5,0.5,0.0,Depressed
25,26,28,5c9b1b5c441b4700179b17b2,"pitiful, excited, gross, esteemed, enjoyable, sad, fool, loveable, spirited, smart, wise, talented, envious, heartbroken, despicable, ","pitiful, excited, gross, esteemed, enjoyable, sad, fool, loveable, spirited, smart, wise, talented, envious, heartbroken, despicable, ",pitiful  excited  gross  esteemed  enjoyable  sad  fool  loveable  spirited  smart  wise  talented  envious  heartbroken  despicable  ,pitiful  excited  gross  esteemed  enjoyable  sad  fool  loveable  spirited  smart  wise  talented  envious  heartbroken  despicable  ,3,2,5,0.6,0.4,-0.2,HC
26,27,29,5cd01055c24ebe0001f9fd40,"uninvited
fool
romantic
","uninvited, fool, romantic, ",uninvited  fool  romantic  ,uninvited  fool  romantic  ,0,1,1,0.0,1.0,1.0,Depressed
28,29,31,5d0a8a22c0fd80001626e38d,esteemed pitiful regretful happy pleased enthusiastic sad innovative smart wise peaceful stressed distressed attractive disgusting repulsive comfortable excited jealous witty charismatic hopeful cynical ,esteemed pitiful regretful happy pleased enthusiastic sad innovative smart wise peaceful stressed distressed attractive disgusting repulsive comfortable excited jealous witty charismatic hopeful cynical ,esteemed pitiful regretful happy pleased enthusiastic sad innovative smart wise peaceful stressed distressed attractive disgusting repulsive comfortable excited jealous witty charismatic hopeful cynical ,esteemed pitiful regretful happy pleased enthusiastic sad innovative smart wise peaceful stressed distressed attractive disgusting repulsive comfortable excited jealous witty charismatic hopeful cynical ,8,5,13,0.615384615384615,0.384615384615385,-0.230769230769231,Depressed
29,30,32,5d0e6b201b7ef6001a6346fc,"scoundrel
talented
overwhelmed
anxious
capable
incompetent
stressed
excellent
excited
negligent","scoundrel, talented, overwhelmed, anxious, capable, incompetent, stressed, excellent, excited, negligent",scoundrel  talented  overwhelmed  anxious  capable  incompetent  stressed  excellent  excited  negligent,scoundrel  talented  overwhelmed  anxious  capable  incompetent  stressed  excellent  excited  negligent,1,3,4,0.25,0.75,0.5,HC
30,31,33,5d11e762cc2d290016bc2364,"pitiful
esteemed
careful
stressed
lovable
invited
carefree
easygoing
stressed
disaster
pitiful","pitiful, esteemed, careful, stressed, lovable, invited, carefree, easygoing, stressed, disaster, pitiful",pitiful  esteemed  careful  stressed  lovable  invited  carefree  easygoing  stressed  disaster  pitiful,pitiful  esteemed  careful  stressed  lovable  invited  carefree  easygoing  stressed  disaster  pitiful,3,0,3,1.0,0.0,-1.0,Depressed
31,32,34,5d453e8723a5bb0001492546,"romantic,scoundrel,garbage,dull,cynic,entertaining,charming,excellent,talented,seeker,comfortable,companion,helper,disaster,parasite,companion,traitor,honest,liar,hypocrite,failure,talented,asset,gross,disgusting,vain,charming,entertaining,uninvited,academic,envious,calculating,friendly,spunky,spontaneous,easygoing,hater,energetic,active,liar,humorous,selfish,dedicated,quitter,gross,negligent,failure,unlucky,healthy,fun,happy,mess","romantic,scoundrel,garbage,dull,cynic,entertaining,charming,excellent,talented,seeker,comfortable,companion,helper,disaster,parasite,companion,traitor,honest,liar,hypocrite,failure,talented,asset,gross,disgusting,vain,charming,entertaining,uninvited,academic,envious,calculating,friendly,spunky,spontaneous,easygoing,hater,energetic,active,liar,humorous,selfish,dedicated,quitter,gross,negligent,failure,unlucky,healthy,fun,happy,mess",romantic scoundrel garbage dull cynic entertaining charming excellent talented seeker comfortable companion helper disaster parasite companion traitor honest liar hypocrite failure talented asset gross disgusting vain charming entertaining uninvited academic envious calculating friendly spunky spontaneous easygoing hater energetic active liar humorous selfish dedicated quitter gross negligent failure unlucky healthy fun happy mess,romantic scoundrel garbage dull cynic entertaining charming excellent talented seeker comfortable companion helper disaster parasite companion traitor honest liar hypocrite failure talented asset gross disgusting vain charming entertaining uninvited academic envious calculating friendly spunky spontaneous easygoing hater energetic active liar humorous selfish dedicated quitter gross negligent failure unlucky healthy fun happy mess,18,14,32,0.5625,0.4375,-0.125,HC
32,33,35,5d49fbb01da04c001a407042,"garbage
entertaining
burden
brave
unlucky
","garbage, entertaining, burden, brave, unlucky, ",garbage  entertaining  burden  brave  unlucky  ,garbage  entertaining  burden  brave  unlucky  ,2,1,3,0.666666666666667,0.333333333333333,-0.333333333333333,Depressed
33,34,36,5d4bed118cbe900016c1f6d0,"Disaster, trash, loser, uninvited, regretful, dull, bitter, stressful, annoying, entertaining, witty, anxious","Disaster, trash, loser, uninvited, regretful, dull, bitter, stressful, annoying, entertaining, witty, anxious",Disaster  trash  loser  uninvited  regretful  dull  bitter  stressful  annoying  entertaining  witty  anxious,disaster  trash  loser  uninvited  regretful  dull  bitter  stressful  annoying  entertaining  witty  anxious,2,5,7,0.285714285714286,0.714285714285714,0.428571428571429,HC
34,35,37,5d617ba9364f9a0019f1dac3,"garbage, gross, unenjoyable, slob, annoying, timid, witty, seeker","garbage, gross, unenjoyable, slob, annoying, timid, witty, seeker",garbage  gross  unenjoyable  slob  annoying  timid  witty  seeker,garbage  gross  unenjoyable  slob  annoying  timid  witty  seeker,1,1,2,0.5,0.5,0.0,Depressed
35,36,38,5d63179aa3b94d0001da4bb6,"Overwhelmed
scoundrel
witty
esteemed
gross
humorous
lucky
romantic
lovable
pitiful
liar
degenerate
happy
delightful
mess
hater
spontaneous
envious
confident
","Overwhelmed, scoundrel, witty, esteemed, gross, humorous, lucky, romantic, lovable, pitiful, liar, degenerate, happy, delightful, mess, hater, spontaneous, envious, confident, ",Overwhelmed  scoundrel  witty  esteemed  gross  humorous  lucky  romantic  lovable  pitiful  liar  degenerate  happy  delightful  mess  hater  spontaneous  envious  confident  ,overwhelmed  scoundrel  witty  esteemed  gross  humorous  lucky  romantic  lovable  pitiful  liar  degenerate  happy  delightful  mess  hater  spontaneous  envious  confident  ,5,4,9,0.555555555555556,0.444444444444444,-0.111111111111111,HC
36,37,39,5d67476c0ca617001699fe7a,"seeker
garbage
immoral
hypocrite
dull
witty
wise
academic
honest
companion","seeker, garbage, immoral, hypocrite, dull, witty, wise, academic, honest, companion",seeker  garbage  immoral  hypocrite  dull  witty  wise  academic  honest  companion,seeker  garbage  immoral  hypocrite  dull  witty  wise  academic  honest  companion,5,2,7,0.714285714285714,0.285714285714286,-0.428571428571429,Depressed
37,38,41,5d8998025e8a740001d6e2f1,seeker garbage hypocrite stressed excellent romantic creep adventurous esteemed respected ,seeker garbage hypocrite stressed excellent romantic creep adventurous esteemed respected ,seeker garbage hypocrite stressed excellent romantic creep adventurous esteemed respected ,seeker garbage hypocrite stressed excellent romantic creep adventurous esteemed respected ,0,1,1,0.0,1.0,1.0,HC
38,39,42,5dacff17847579001715f610,pitiful excited sad excellent stressed distressed fun ,pitiful excited sad excellent stressed distressed fun ,pitiful excited sad excellent stressed distressed fun ,pitiful excited sad excellent stressed distressed fun ,1,2,3,0.333333333333333,0.666666666666667,0.333333333333333,Depressed
39,40,43,5db753692a16b8000b4d44f6,"uninvited, scoundrel, loser, failure, mess, garbage, stressed, excellent, exciting, confident, special, appealing, gross, ","uninvited, scoundrel, loser, failure, mess, garbage, stressed, excellent, exciting, confident, special, appealing, gross, ",uninvited  scoundrel  loser  failure  mess  garbage  stressed  excellent  exciting  confident  special  appealing  gross  ,uninvited  scoundrel  loser  failure  mess  garbage  stressed  excellent  exciting  confident  special  appealing  gross  ,1,3,4,0.25,0.75,0.5,HC
40,41,44,5dbc46b70338051eb7999760,"garbage, overwhelmed, seeker, witty, beautiful, funny, brave, pitiful, ","garbage, overwhelmed, seeker, witty, beautiful, funny, brave, pitiful, ",garbage  overwhelmed  seeker  witty  beautiful  funny  brave  pitiful  ,garbage  overwhelmed  seeker  witty  beautiful  funny  brave  pitiful  ,2,0,2,1.0,0.0,-1.0,HC
41,42,45,5dcccec0092079953154f997,"appealing, excellent, disaster, committed, sad, happy, distressed, slob, gloomy, romantic, loveable, friendly, disgrace, active, peaceful, menace, fun, ","appealing, excellent, disaster, committed, sad, happy, distressed, slob, gloomy, romantic, loveable, friendly, disgrace, active, peaceful, menace, fun, ",appealing  excellent  disaster  committed  sad  happy  distressed  slob  gloomy  romantic  loveable  friendly  disgrace  active  peaceful  menace  fun  ,appealing  excellent  disaster  committed  sad  happy  distressed  slob  gloomy  romantic  loveable  friendly  disgrace  active  peaceful  menace  fun  ,4,6,10,0.4,0.6,0.2,HC
42,43,46,5dd48b3a4b5dd44805f0cd60,"unlucky
mess
gross
excited
stressed
talented
uninvited
comfortable
confident
sc","unlucky, mess, gross, excited, stressed, talented, uninvited, comfortable, confident, sc",unlucky  mess  gross  excited  stressed  talented  uninvited  comfortable  confident  sc,unlucky  mess  gross  excited  stressed  talented  uninvited  comfortable  confident  sc,0,1,1,0.0,1.0,1.0,Depressed
43,44,47,5dd7d4d5d3ac2a92dfbb40d5,"esteemed
gross
uninvited
comfortable
weird
appealing
pitiful
failure
loser
rude
seeker
admired
energetic
lazy

","esteemed, gross, uninvited, comfortable, weird, appealing, pitiful, failure, loser, rude, seeker, admired, energetic, lazy, , ",esteemed  gross  uninvited  comfortable  weird  appealing  pitiful  failure  loser  rude  seeker  admired  energetic  lazy    ,esteemed  gross  uninvited  comfortable  weird  appealing  pitiful  failure  loser  rude  seeker  admired  energetic  lazy    ,2,3,5,0.4,0.6,0.2,Depressed
44,45,48,5df39c6805620526e328a329,"peaceful
scuandral
hypocrite
friendly
exciting
slob
loser
","peaceful, scuandral, hypocrite, friendly, exciting, slob, loser, ",peaceful  scuandral  hypocrite  friendly  exciting  slob  loser  ,peaceful  scuandral  hypocrite  friendly  exciting  slob  loser  ,1,2,3,0.333333333333333,0.666666666666667,0.333333333333333,HC
45,46,49,5e0b388b15ef4037cebdecc9,"ungrateful
pitiful
esteemed
gross
learner
companion
peaceful","ungrateful, pitiful, esteemed, gross, learner, companion, peaceful",ungrateful  pitiful  esteemed  gross  learner  companion  peaceful,ungrateful  pitiful  esteemed  gross  learner  companion  peaceful,2,0,2,1.0,0.0,-1.0,Depressed
46,47,50,5e27727328b7b698b037ee6c,"uninvited
garbage
loser
capable
","uninvited, garbage, loser, capable, ",uninvited  garbage  loser  capable  ,uninvited  garbage  loser  capable  ,1,1,2,0.5,0.5,0.0,HC
47,48,51,5e4b1627e778a8030266480c,"sad
unwanted
romantic
stressed
uninvited
garbage
excellant
liar
honest
enjoyable
relived
","sad, unwanted, romantic, stressed, uninvited, garbage, excellant, liar, honest, enjoyable, relived, ",sad  unwanted  romantic  stressed  uninvited  garbage  excellant  liar  honest  enjoyable  relived  ,sad  unwanted  romantic  stressed  uninvited  garbage  excellant  liar  honest  enjoyable  relived  ,1,3,4,0.25,0.75,0.5,Depressed
48,49,53,5e56457f6370ba0184e041b4,"Stressed, esteemed, pitiful, scoundrel, gross, excellent, garbage, seeker, happy, pleased, ","Stressed, esteemed, pitiful, scoundrel, gross, excellent, garbage, seeker, happy, pleased, ",Stressed  esteemed  pitiful  scoundrel  gross  excellent  garbage  seeker  happy  pleased  ,stressed  esteemed  pitiful  scoundrel  gross  excellent  garbage  seeker  happy  pleased  ,2,0,2,1.0,0.0,-1.0,HC
49,50,55,5e63912d08c2ef10e6a85688,"Enjoyable, Confident, Esteemed, Hopeful, Gross, Pitiful, Garbage, ","Enjoyable, Confident, Esteemed, Hopeful, Gross, Pitiful, Garbage, ",Enjoyable  Confident  Esteemed  Hopeful  Gross  Pitiful  Garbage  ,enjoyable  confident  esteemed  hopeful  gross  pitiful  garbage  ,1,0,1,1.0,0.0,-1.0,HC
50,51,56,5e6af995a2b73d0bf367a519,"Scoundrel
Stressed
Happy
Smily","Scoundrel, Stressed, Happy, Smily",Scoundrel  Stressed  Happy  Smily,scoundrel  stressed  happy  smily,1,0,1,1.0,0.0,-1.0,HC
51,52,57,5e7146ee69a3f1061774803b,"gross,mess, esteemed, happy, unlucky, disaster, confident, romantic","gross,mess, esteemed, happy, unlucky, disaster, confident, romantic",gross mess  esteemed  happy  unlucky  disaster  confident  romantic,gross mess  esteemed  happy  unlucky  disaster  confident  romantic,1,1,2,0.5,0.5,0.0,Depressed
52,53,58,5e7d031be805560ae6b93dba,"Heartbroken
excellent
uninvited
companion
envious
traitor
unappealing
attractive
intelligent
","Heartbroken, excellent, uninvited, companion, envious, traitor, unappealing, attractive, intelligent, ",Heartbroken  excellent  uninvited  companion  envious  traitor  unappealing  attractive  intelligent  ,heartbroken  excellent  uninvited  companion  envious  traitor  unappealing  attractive  intelligent  ,2,1,3,0.666666666666667,0.333333333333333,-0.333333333333333,Depressed
53,54,59,5e837e917441520b9c662931,"disaster
comfident
gloomy
romantic
insecure
gentle
smart
unlucky

","disaster, comfident, gloomy, romantic, insecure, gentle, smart, unlucky, , ",disaster  comfident  gloomy  romantic  insecure  gentle  smart  unlucky    ,disaster  comfident  gloomy  romantic  insecure  gentle  smart  unlucky    ,2,2,4,0.5,0.5,0.0,HC
54,55,61,5e9749b44592572013c96868,"creep, rude, peaceful, garbage, dull, energetic, cynic, unfaithful, romantic, smiley, appealing, ","creep, rude, peaceful, garbage, dull, energetic, cynic, unfaithful, romantic, smiley, appealing, ",creep  rude  peaceful  garbage  dull  energetic  cynic  unfaithful  romantic  smiley  appealing  ,creep  rude  peaceful  garbage  dull  energetic  cynic  unfaithful  romantic  smiley  appealing  ,2,5,7,0.285714285714286,0.714285714285714,0.428571428571429,HC
55,56,62,5ea89d0c5a0a9c12978f8263,"gross
excellent
hopeful
adventurous
charming
romantic","gross, excellent, hopeful, adventurous, charming, romantic",gross  excellent  hopeful  adventurous  charming  romantic,gross  excellent  hopeful  adventurous  charming  romantic,2,0,2,1.0,0.0,-1.0,HC
56,57,63,5eb6aa4f68d6ba01bf8c0a46,"scoundrel, heartbroken, visionary, gross, uninvited, hypocrite, excited, ","scoundrel, heartbroken, visionary, gross, uninvited, hypocrite, excited, ",scoundrel  heartbroken  visionary  gross  uninvited  hypocrite  excited  ,scoundrel  heartbroken  visionary  gross  uninvited  hypocrite  excited  ,1,0,1,1.0,0.0,-1.0,Depressed
57,58,64,5ebe015ae70ab70008895dbd,"hypocrite, happy, envious, talented, liar, special, menace, humorous, delightful, witty, capable, proficient, lovable, attractive, garbage, unlucky, degenerate, unfaithful, loser, kind, rude, disaster, messy, ","hypocrite, happy, envious, talented, liar, special, menace, humorous, delightful, witty, capable, proficient, lovable, attractive, garbage, unlucky, degenerate, unfaithful, loser, kind, rude, disaster, messy, ",hypocrite  happy  envious  talented  liar  special  menace  humorous  delightful  witty  capable  proficient  lovable  attractive  garbage  unlucky  degenerate  unfaithful  loser  kind  rude  disaster  messy  ,hypocrite  happy  envious  talented  liar  special  menace  humorous  delightful  witty  capable  proficient  lovable  attractive  garbage  unlucky  degenerate  unfaithful  loser  kind  rude  disaster  messy  ,8,6,14,0.571428571428571,0.428571428571429,-0.142857142857143,HC
58,59,65,5ed081544e61f3163c036286,garbage dull smart talented unwelcome uninvited terrible talented appealing excited pitiful liar hypocrite entertaining heartbroken romantic pleasing anxious learned academic witty charming valued traitor ,garbage dull smart talented unwelcome uninvited terrible talented appealing excited pitiful liar hypocrite entertaining heartbroken romantic pleasing anxious learned academic witty charming valued traitor ,garbage dull smart talented unwelcome uninvited terrible talented appealing excited pitiful liar hypocrite entertaining heartbroken romantic pleasing anxious learned academic witty charming valued traitor ,garbage dull smart talented unwelcome uninvited terrible talented appealing excited pitiful liar hypocrite entertaining heartbroken romantic pleasing anxious learned academic witty charming valued traitor ,6,6,12,0.5,0.5,0.0,HC
59,60,66,5ed478fa7d20a043b7c3be83,"romantic, scoundrell, unwanted, witty, excellent, uninvited, slob, garbage, satisfied, heartbroken, happy, ","romantic, scoundrell, unwanted, witty, excellent, uninvited, slob, garbage, satisfied, heartbroken, happy, ",romantic  scoundrell  unwanted  witty  excellent  uninvited  slob  garbage  satisfied  heartbroken  happy  ,romantic  scoundrell  unwanted  witty  excellent  uninvited  slob  garbage  satisfied  heartbroken  happy  ,3,2,5,0.6,0.4,-0.2,HC
60,61,67,5ee834d45f0f48129a79b683,gross uninvited enjoyable happy garbage incompetent,gross uninvited enjoyable happy garbage incompetent,gross uninvited enjoyable happy garbage incompetent,gross uninvited enjoyable happy garbage incompetent,1,1,2,0.5,0.5,0.0,HC
